date,open,high,low,close,tic
2023-10-19,1559.13,1574.96,1542.4,1564.06,ETH
2023-10-19,7.33514,7.43618,7.21813,7.31035,LINK
2023-10-19,0.0890487,0.0897959,0.0884112,0.0895658,TRX
2023-10-19,0.488243,0.519931,0.477516,0.506197,XRP
2023-10-20,0.245076,0.253332,0.244965,0.251716,ADA
2023-10-20,210.184,216.43,210.182,212.789,BNB
2023-10-20,28615.5,30118.1,28592.3,29627.2,BTC
2023-10-20,13.154,15.505,13.0689,14.306,BTG
2023-10-20,0.0586044,0.0604853,0.0585818,0.0601843,DOGE
2023-10-20,1564.02,1630.48,1561.95,1607.96,ETH
2023-10-20,7.31042,7.71012,7.26616,7.59439,LINK
2023-10-20,0.0895558,0.0921216,0.0895358,0.0908672,TRX
2023-10-20,0.505702,0.530949,0.503901,0.521019,XRP
2023-10-21,0.251713,0.26279,0.249547,0.259377,ADA
2023-10-21,212.787,215.884,211.495,215.505,BNB
2023-10-21,29627.2,30374.6,29478.0,29999.0,BTC
2023-10-21,14.3224,15.4062,14.3163,14.774,BTG
2023-10-21,0.0601837,0.0614556,0.0594442,0.061161,DOGE
2023-10-21,1607.96,1644.47,1593.09,1629.54,ETH
2023-10-21,7.59389,9.15305,7.52403,8.88775,LINK
2023-10-21,0.0908572,0.0918558,0.0905507,0.0916849,TRX
2023-10-21,0.521019,0.532254,0.51115,0.523356,XRP
2023-10-22,0.259377,0.263241,0.256191,0.260629,ADA
2023-10-22,215.505,216.795,213.724,214.873,BNB
2023-10-22,29999.1,30259.6,29722.0,29760.1,BTC
2023-10-22,14.7875,15.0355,14.1212,14.4258,BTG
2023-10-22,0.0611499,0.0617263,0.0599984,0.0609317,DOGE
2023-10-22,1629.55,1647.96,1622.22,1636.54,ETH
2023-10-22,8.88785,9.75197,8.84815,9.50853,LINK
2023-10-22,0.0916949,0.0919186,0.0897466,0.0897705,TRX
2023-10-22,0.523356,0.524462,0.514219,0.518676,XRP
2023-10-23,0.260599,0.272109,0.25963,0.2702,ADA
2023-10-23,214.873,224.615,214.873,224.117,BNB
2023-10-23,29760.1,31825.8,29724.7,31646.4,BTC
2023-10-23,14.4572,14.7075,13.9988,14.5207,BTG
2023-10-23,0.0609317,0.0656931,0.0607031,0.0655831,DOGE
2023-10-23,1636.54,1725.7,1634.78,1717.62,ETH
2023-10-23,9.51033,11.0426,9.46471,10.1923,LINK
2023-10-23,0.0897605,0.0914547,0.0897278,0.0911974,TRX
2023-10-23,0.518476,0.539975,0.517381,0.53878,XRP
2023-10-24,0.270188,0.293799,0.2698,0.279047,ADA
2023-10-24,224.217,237.921,222.293,225.673,BNB
2023-10-24,31646.4,35179.4,31611.4,34138.1,BTC
2023-10-24,14.5066,15.5208,14.43,15.1376,BTG
2023-10-24,0.0655831,0.0688993,0.0653643,0.0671229,DOGE
2023-10-24,1717.61,1854.4,1716.05,1787.31,ETH
2023-10-24,10.2061,11.1152,9.69061,10.1983,LINK
2023-10-24,0.0912065,0.0939319,0.0910464,0.0923489,TRX
2023-10-24,0.53878,0.586453,0.535657,0.561733,XRP
2023-10-25,0.278857,0.289897,0.276312,0.279194,ADA
2023-10-25,225.473,229.059,222.365,223.151,BNB
2023-10-25,34121.6,35128.0,33691.4,34560.7,BTC
2023-10-25,14.9466,15.0789,14.4472,14.5537,BTG
2023-10-25,0.0671229,0.0689007,0.0657539,0.0672565,DOGE
